sSFR,logMstar,age,logMhalo,vlos_sigma,r_rvir
-11.60476,10.48984,5.233932,13.94582,9.013614547334242,0.23805220808376565
-10.34968,10.11295,3.261608,13.41406,6.449772716841297,1.045384093287743
-10.48789,10.53639,3.46305,13.41406,5.6595462707837685,0.19764684577806804
-9.767432,9.970307,1.059001,13.53407,5.583619006429241,0.54288298782792
-10.19105,10.05602,2.474223,13.47073,5.126638068442511,0.40869070428919796
-10.45647,11.00868,2.350029,13.94582,4.766106843079853,0.9488070001460305
-10.11281,10.7848,3.108699,13.41406,4.58726426818181,0.9340823083526066
-11.28788,10.71502,2.788738,13.7078,4.586436208125319,0.7193435369957735
-12.02273,10.81578,10.06978,13.81632,4.47204622148535,0.6635670865598109
-11.20062,10.867,5.978424,13.47442,4.3979159880666,0.7882928745718437
-10.30762,9.726843,1.107265,13.41406,4.362497071540267,1.030699159007235
-9.612809,9.587969,0.403393,13.52647,4.358978040693685,0.43716892887637293
-12.15343,10.39608,11.18577,13.41937,4.3061770774377175,0.8696375813663436
-9.945778,10.48054,1.696577,14.35545,4.201623440069233,0.41560131708721354
-10.06338,10.33779,1.150811,13.47442,4.187264041181166,0.16907061109542934
-10.24728,10.37569,3.994213,13.76214,4.117994390807738,0.48723370205009414
-11.45205,11.23832,5.251459,13.94582,4.0801753221937895,0.956301011887639
-12.16099,10.298,10.49325,14.43986,4.0592889454330034,0.2390951303353718
-10.58777,10.82772,2.186011,13.94582,3.9782680656232183,0.4747748142745774
-12.18762,10.584,11.11174,14.3209,3.943997701926115,0.3090573009695792
-9.843804,10.87208,2.34327,13.94582,3.802570434603622,0.9185184551475615
-11.11965,10.44723,12.13764,13.76422,3.658922460214854,0.12498629282658379
-9.851605,10.24544,0.7444635,13.62658,3.6311127648177433,0.24689501913523254
-9.569959,10.63015,1.126394,13.94582,3.6288436921482097,0.45377447123966547
-9.986957,9.876284,0.7995518,13.4309,3.6166709168835056,0.7819028638304213
-10.33095,10.24652,3.223826,13.94582,3.6068444293119906,0.3407856390638224
-10.17346,10.14634,0.6679367,13.79671,3.570333588460726,0.09623216792968911
-11.92442,11.47776,7.369114,13.41448,3.5176824246807183,0.8928552755480984
-11.5433,10.09681,1.84845,13.41937,3.457960727970484,1.0285552062170242
-12.47217,11.48059,10.94952,13.47073,3.43638659447884,0.29843504484363514
-11.82602,10.55943,6.545627,13.53407,3.3972864379038743,0.5125404095085094
-10.73396,10.81366,3.655509,13.41406,3.3689307944309057,0.5055207082704751
-9.564538,9.279369,0.349437,13.47073,3.3447745291166555,0.91143886774105
-12.37911,11.49372,11.32857,13.94582,3.2893650046913177,0.22077570091348048
-12.11737,10.7149,7.393277,14.04944,3.2818298145815086,0.5160254364498611
-10.82914,11.05146,5.478058,13.94582,3.2787293839795044,0.9206691070030097
-12.24429,11.15622,5.50826,13.45184,3.2654752510425724,0.6680904954435068
-11.45496,10.56813,7.779292,14.3209,3.259142001739615,0.1159117307496605
-10.60208,10.16794,3.449466,13.59111,3.2321025437415707,0.06742355079951465
-11.10074,10.87005,5.166697,13.46847,3.220408411097524,0.47387711115255654
-11.94085,10.30079,7.183249,14.35545,3.214911885270055,0.17428494531158173
-11.26355,10.03231,2.913048,14.43986,3.2120879844250654,0.33472112380490016
-9.407556,9.680775,0.6822988,13.74596,3.1995234380003237,0.6100547739862519
-10.41458,10.26237,1.719497,13.4131,3.1257872869553087,0.5136018475954878
-10.47901,10.70308,3.091592,13.95427,3.1157398755591843,0.3138104495108383
-11.77584,11.12992,9.943753,13.8654,3.0633829209353514,0.19482232767951962
-10.7393,10.56482,3.914588,14.35545,3.0631177449055667,0.38472846574329744
-11.00622,10.43091,4.010812,13.95427,3.0577911584391457,0.9584211630244969
-11.89635,10.79168,10.3103,14.3209,3.0304819300580275,0.404924746200464
-10.36616,10.30416,2.356848,13.51361,3.027057232081686,0.6664878421608613
-11.53374,10.79333,3.995078,13.8654,3.014416606210069,0.18579478997423174
-11.54263,10.42092,9.401153,13.95427,3.013215571493151,0.24658593586853036
-11.53211,10.42922,9.393153,13.61678,3.004141672995278,0.13494286633862926
-11.59121,10.62135,4.975136,14.3209,2.999745190599016,0.5784076513585689
-10.73187,10.33871,1.503103,14.13114,2.9922598807545326,0.14297645154017996
-10.49726,10.78271,2.941223,13.95427,2.9601267058019483,0.6354206692533494
-10.47328,10.57505,1.946415,13.44845,2.9218391331542635,0.5796767486961477
-12.06075,10.46215,10.13549,13.83432,2.891102090730398,0.2996958268733174
-9.871617,9.667729,0.8158383,13.7078,2.889532791406447,1.4012151102795918
-11.63255,11.04073,3.998007,14.38108,2.8696499395379624,0.2852918758266868
-12.54506,11.16165,8.490866,14.43986,2.866483837286258,0.08574728484288499
-11.55741,10.34566,7.61471,13.6817,2.860977373460346,0.35349525111274666
-12.44355,11.12369,8.586624,13.94582,2.8486084414400707,0.1390782591316856
-11.36339,10.36374,4.665875,13.47442,2.8436920277339226,0.5709314335805741
-9.481432,9.511592,0.4743384,14.3209,2.826491447902532,0.4881206376833972
-10.87083,10.29347,2.218206,13.92275,2.8248876907919414,0.36805481158753023
-10.439,10.41178,2.625227,13.74043,2.8226292199805245,0.5349128255026145
-11.47978,10.24751,5.710698,14.52893,2.81965928073214,0.33089744806839966
-11.24046,10.10653,3.922121,13.64793,2.817494424747877,0.3146993914936811
-11.81633,10.99181,10.42121,13.85342,2.803546530579514,0.5587374617000892
-10.93476,10.93015,3.903019,14.52893,2.796956069187699,0.3022883427574627
-11.98387,11.16008,7.015355,13.94582,2.7893880673919074,0.9634029158323979
-12.26129,11.25284,11.2123,13.47073,2.7764067068384,0.8437603168522696
-10.04543,10.28555,1.36372,13.45184,2.772939810586067,1.3459142761394336
-12.16442,10.5897,9.312677,13.83268,2.772616980351945,0.3849981147745307
-10.75385,11.41536,6.794749,13.67141,2.7701994703351374,0.9902865401082173
-9.900845,9.607351,0.6376957,14.52893,2.738194173598977,0.5474066833195879
-12.6,11.37417,10.23586,14.3209,2.7370968752558675,0.3787640059094148
-11.48016,10.39775,7.096079,14.05995,2.7265110643394017,0.2528967573146479
-12.50192,11.11995,6.064738,13.61606,2.72607366051331,0.241122695312216
-11.81447,11.18352,8.842818,13.42025,2.723309135832871,1.0306406249891467
-11.31875,10.90021,2.960202,14.52893,2.710422541597111,0.4883239190929103
-12.085,10.69544,9.676749,14.43986,2.7052631700175467,0.3004619878003899
-10.12395,10.51839,2.075937,13.94582,2.693530203869269,1.3296945729785685
-12.11579,10.6353,9.316312,14.22571,2.6754224356383807,0.44655567535274043
-11.68967,10.43508,3.654067,13.61873,2.66449369824716,0.10535176149953061
-9.958419,10.14094,3.031856,13.66511,2.660323178378339,0.2827677175995018
-11.32671,10.89472,2.579333,13.92275,2.653112839600867,0.6481579364815947
-12.42056,10.54709,9.325465,13.74181,2.652235573020972,0.3643413232188401
-12.43039,11.19394,9.739163,13.4131,2.6346404185675145,0.5708758333478137
-11.63053,10.47186,7.044434,14.43986,2.6245015128645086,0.5963221072907939
-11.44451,10.40703,6.141088,14.3209,2.6193073642278604,1.2385241903505293
-12.41313,10.74409,11.10594,14.3209,2.6153877554808562,0.3604549968593076
-11.52727,10.50041,9.622165,14.46389,2.6126531911336333,0.21617703379699474
-12.09265,11.33441,10.20715,14.52893,2.6050160734082897,0.47179584547196796
-11.11507,10.03507,2.932082,14.52893,2.5961778540862652,0.4974093533247498
-10.0188,10.50708,1.217948,13.42025,2.5897452538779304,1.1914168184985006
-10.63159,10.3643,4.338044,13.41937,2.5880154393922616,1.0377671860395052
-11.48805,10.46757,9.451692,13.98495,2.586839314818636,0.8959733575055985
-12.24098,10.85392,8.781393,13.98834,2.5802165730450226,0.6070550733193399
-10.0111,10.45964,1.30036,13.86176,2.5792114859744055,0.6194006245465573
-9.956054,10.26646,1.667724,13.60971,2.5758795808269457,0.7277913603073946
-11.50679,9.883412,1.129058,13.45184,2.5742439329863385,0.7996809989808639
-12.00761,10.5939,6.763607,14.33683,2.5737904454871945,0.5499689644455655
-10.11369,9.931363,0.9109532,13.87317,2.573580515899601,0.679014673178313
-12.36724,11.17867,9.632106,13.71103,2.571493967223386,0.28957685141312767
-9.624391,9.905099,0.2950548,14.10293,2.5703938184562825,0.34525996784752555
-9.981593,10.3974,1.44653,14.35545,2.567661472186161,0.9394049600291626
-9.972082,10.34013,2.061541,14.10531,2.564399461440573,0.8579115875133059
-10.6377,10.52283,3.149976,14.3209,2.562274042059488,0.2689204790696532
-11.683,10.44367,8.350305,13.79671,2.5469310746474543,0.24598563820402541
-11.71429,10.22517,8.930864,13.87601,2.5458698307943464,0.25903020822285855
-11.93235,10.48772,7.588463,14.52893,2.5380572946642297,0.3845215350749679
-9.77462,9.935221,1.38925,14.04944,2.536162394075131,0.09329311867805282
-12.05381,10.83705,11.11025,13.55853,2.53533079309291,0.6192433470817204
-12.20814,11.35544,11.55315,14.11204,2.534829051861227,0.2555940651079024
-11.97093,10.44175,11.14253,13.87601,2.5316807240036705,0.24487102438104666
-12.3954,11.0069,11.17494,14.59888,2.53144818488407,0.323337689227979
-12.51422,11.12135,10.18849,13.76422,2.519388901673073,0.9009578831280818
-12.15872,10.97018,12.25441,13.67608,2.519014609467069,0.5773650193253937
-10.29824,10.11742,2.463317,13.59111,2.5145691080020525,0.7210769854446675
-9.89588,9.742684,0.7900286,13.9538,2.513791136913433,0.2790339082267676
-12.18315,11.35309,10.43345,13.49553,2.5118749934555904,0.12257276162326196
-11.73211,11.12277,7.10587,14.52893,2.5052737157786535,0.5949342585395666
-9.240934,9.083032,0.2197332,14.13993,2.5004675597729307,0.2103434057842964
-12.18922,10.47413,7.52254,13.4309,2.4972703802426675,0.497606187815622
-11.16589,10.261,6.633805,14.10293,2.4908870615644525,0.12339095126748752
-11.78724,11.12032,6.246765,14.3209,2.48980509497005,0.7501236976653601
-12.1575,10.9594,11.09503,13.94582,2.48565992832354,0.47868519839406903
-12.51133,11.13697,9.882392,13.41937,2.4823356866850657,0.8578886640856034
-11.20399,10.61795,5.581639,14.52893,2.4783368317119807,0.6319968968606674
-11.98204,11.14401,9.876368,14.10592,2.477835813614771,0.11068646190132829
-9.721157,9.744819,0.8267486,13.62658,2.4751386544558533,0.5141632276447902
-10.25014,10.3152,2.816556,13.76422,2.4708236482945374,0.8615587729583251
-11.56712,10.65244,2.958927,14.21601,2.4654965279471397,0.4098068483716375
-10.78859,10.89842,5.941218,14.10293,2.4624740337497615,0.29681162124422816
-10.13571,9.69501,0.8713321,14.52893,2.45399036183007,0.07385234278119604
-11.4036,10.3314,6.582902,13.74128,2.450993132311637,0.5773976833421717
-11.16771,10.69547,8.515744,13.76832,2.4494966472127953,0.7305302497317802
-10.25131,9.954856,1.308555,13.4131,2.447236591161827,0.5298286870512278
-10.48247,10.30388,2.302689,14.52893,2.447166275123072,0.5245484724603802
-12.02128,10.87085,12.20345,14.39986,2.443755991620577,0.343902485348607
-11.49115,10.77813,7.928759,13.4309,2.442107652382325,1.1400180760101826
-10.20703,10.13516,1.495703,14.20564,2.434976401290803,0.19081603609491782
-10.30307,9.910542,1.792044,13.42025,2.428315860445016,0.8986910625635142
-12.03678,10.89509,9.247327,13.50078,2.4275872107761303,0.03959405516788277
-12.12879,10.79389,10.52159,13.81632,2.425539896382585,0.6283983973658464
-10.08525,10.61121,2.124706,13.57047,2.4233226304188977,0.05752978862719422
-10.28404,10.63402,3.267693,13.473,2.421697241496934,0.3466565808923195
-9.816093,9.922564,1.257516,13.5326,2.4168907286135624,0.43794343571943406
-12.04835,11.20437,9.325008,13.98834,2.4164797799461253,0.739009159451344
-10.29174,10.22473,1.749573,13.57038,2.4117673022881667,0.6407375223484054
-12.27273,10.46913,8.901437,13.58913,2.411336221836555,0.6442241801689923
-10.45255,9.686993,1.176186,13.74128,2.409492803786618,0.4365202908015512
-10.50856,10.8406,2.30038,13.74596,2.4093890509934033,0.5940790842548856
-11.84953,10.77611,11.24714,13.95933,2.4090255262522104,0.48649211669263004
-10.79948,10.73568,3.509565,13.94582,2.4083596013689865,0.47045449927656113
-11.52554,10.85051,3.729637,14.3209,2.401134047387219,0.30317771406714417
-12.02688,10.78294,8.084457,14.33683,2.394789318318355,0.28305630908485147
-12.0785,10.57391,8.774335,14.3209,2.3874599260325535,0.37293354715776106
-12.27076,10.88152,10.10223,14.43986,2.3866729166704364,0.17239740347195576
-10.64679,10.52311,2.193816,13.51936,2.3827784187572285,0.86392336917543
-9.606068,9.912974,0.4987859,14.43986,2.3769826535844127,0.5651379307644724
-11.1866,10.73902,3.663509,13.66991,2.376377889051556,0.22815559578843755
-10.01124,10.44633,3.087562,13.87317,2.3737521072003096,0.5709484953012969
-10.59403,10.61392,5.503268,13.47442,2.3655483114374105,0.9432816581351919
-9.994205,10.46625,1.334468,14.10531,2.360035710087138,0.6469237346207216
-10.9178,10.25918,5.080612,14.52893,2.359769470806709,0.3099764742878503
-12.50354,11.77527,9.76205,13.94582,2.359153414456833,0.2134100153599318
-10.16434,10.86665,2.828297,13.49553,2.3567337454628703,0.4004267868591816
-11.23871,10.54872,3.868771,14.10592,2.356594687114524,0.4737694046731416
-12.08,10.33954,10.19892,14.3209,2.351533353251723,0.27983833329239327
-11.60957,10.3059,7.527055,13.61568,2.348673893175059,0.39147876481178007
-11.71927,10.66678,10.18605,13.48289,2.346218436608939,0.3424914321416738
-10.4517,10.06597,1.714497,14.08722,2.3403771900375934,1.6488404020927356
-9.688064,10.10114,1.56316,14.07328,2.3377097273018284,0.12107434535561241
-11.90519,10.5227,7.813751,14.52893,2.3345003753601947,0.5836520033938734
-12.03138,10.57201,6.762923,14.38108,2.332314988592612,0.44579846864055767
-12.84394,11.42571,11.21756,13.62097,2.3307852742462702,0.16043537987201142
-11.89483,10.56011,5.413339,13.77045,2.329611544079684,0.19407717246249764
-9.832759,10.6509,0.9284787,13.94582,2.329611453670145,0.5212039420379126
-9.987901,9.90168,3.649096,14.38108,2.327825718545004,0.07346423015466377
-9.594876,10.21182,1.375255,13.5411,2.321370933857804,0.786863754618256
