"","AGN","lgm_tot_p50","sfr_tot_p50","color_gr","Galaxy","type"
"18","No",0.612591018448237,-0.978153601631777,0.858959569115717,"E","Before PSM"
"22","No",2.14643642886246,-0.516031091181898,0.582314248755989,"E","Before PSM"
"65","No",2.14376834433753,0.143127894382846,0.541560253759559,"E","Before PSM"
"88","No",1.37084244894931,-0.53867636791904,0.632826885491438,"E","Before PSM"
"109","No",-0.139475307017764,-0.211446827816935,0.183386655170504,"E","Before PSM"
"111","No",2.66231663558707,0.0944364056476733,0.640947252136042,"E","Before PSM"
"127","No",1.74798226037731,-0.0527589131438266,0.784689407481276,"E","Before PSM"
"135","No",0.943403180397822,-1.12110023759736,0.742383362395365,"E","Before PSM"
"144","No",-0.414773119363309,-1.20158844377169,0.604276264727919,"E","Before PSM"
"160","No",1.85822266188484,-0.698854630206474,0.579702138311289,"E","Before PSM"
"174","No",1.06740847252263,-0.126138356272837,0.735860694372306,"E","Before PSM"
"187","Yes",1.79015618735668,-0.568682220220819,0.66994421410178,"E","Before PSM"
"220","No",-0.0574620270183448,-0.835639190699355,0.575953886624635,"E","Before PSM"
"286","No",3.47250475689739,-0.250450738308964,0.856139504247267,"E","Before PSM"
"302","No",0.113416659146797,-0.175021860022739,0.940371189985384,"E","Before PSM"
"305","No",1.79715990923463,-0.596175047329821,0.731468291177907,"E","Before PSM"
"366","No",1.08138559713621,-0.473378512909976,0.543031150903157,"E","Before PSM"
"373","No",1.16003345233713,0.572196409797121,0.803329224732277,"E","Before PSM"
"402","No",1.89208914386611,-0.719756981809915,0.672743990733754,"E","Before PSM"
"464","No",-0.0928141469737336,-1.13603686374316,0.464419306665483,"E","Before PSM"
"469","No",1.83099607207358,-0.441002435426375,0.558612516507275,"E","Before PSM"
"470","No",-0.191957742388925,-0.577496295896955,0.0135132512600551,"E","Before PSM"
"490","No",1.3510440490086,-0.501012865029835,0.476003889686264,"E","Before PSM"
"495","Yes",-0.0613125580941026,-1.06321268315674,0.622195849584475,"E","Before PSM"
"513","No",2.08103803885923,-0.435992960042093,0.702101068896723,"E","Before PSM"
"577","No",1.63901526284758,1.19510064008073,1.05367084651685,"E","Before PSM"
"580","No",1.60584612113987,-0.631904375070653,0.528033072097401,"E","Before PSM"
"583","No",1.88814765536337,-0.461786212020719,0.62651217189212,"E","Before PSM"
"585","No",2.96341603805443,-0.151457690715108,0.802690145283672,"E","Before PSM"
"613","No",1.84609500495332,-0.384878971121088,0.819412724188856,"E","Before PSM"
"629","Yes",0.896711701211464,-1.11368356202842,0.784613326594513,"E","Before PSM"
"642","No",1.98116678402815,-0.391636471639463,0.718529468373179,"E","Before PSM"
"650","No",1.92359073274575,-0.833817215559589,0.650508083569562,"E","Before PSM"
"732","No",1.91810296798423,-0.424645969171654,0.744833166948341,"E","Before PSM"
"749","No",1.13793079757943,-0.944599424057803,0.56409034035248,"E","Before PSM"
"752","Yes",1.49575731534399,-0.821382139605682,0.516651371441276,"E","Before PSM"
"768","Yes",1.73618811401141,-1.03930643132287,0.934031116090487,"E","Before PSM"
"915","No",1.67318493625215,-0.977577301587569,0.64708951572544,"E","Before PSM"
"933","No",3.22561598091393,-0.657942427068058,0.625178220344649,"E","Before PSM"
"977","No",2.73659853429264,-0.547895893626279,1.40787302281813,"E","Before PSM"
"1080","No",-0.462556087673505,-0.699906505287165,0.281749097605581,"E","Before PSM"
"1129","Yes",1.22931269255845,-0.759086909826953,1.0370294205575,"E","Before PSM"
"1142","Yes",1.65399291915802,-0.773254710913779,1.10448780679925,"E","Before PSM"
"1158","No",2.02779762492984,-0.326841221668954,0.866466216607277,"E","Before PSM"
"1160","No",1.45446264349215,-0.986823602296862,0.873501162601048,"E","Before PSM"
"1230","No",1.27706534172631,-0.65072210151418,0.770061588990949,"E","Before PSM"
"1252","No",0.466088922715452,-0.778670911329261,0.445875858537703,"E","Before PSM"
"1259","No",0.0790044326036033,-1.38189513260319,0.932073301271729,"E","Before PSM"
"1262","No",0.685326640895037,-0.642326225870124,0.74115085203019,"E","Before PSM"
"1274","No",1.24231960461751,-1.0039494036106,0.777796479142735,"E","Before PSM"
"1286","Yes",0.695695787571489,1.04048775322022,0.23647589793685,"E","Before PSM"
"1302","No",0.678535153013384,-0.79179066233569,0.282028060856937,"E","Before PSM"
"1327","Yes",-0.351648665034736,-1.39431618355602,0.731047310271285,"E","Before PSM"
"1330","No",2.6473996175613,-0.454052061427425,0.523808046853829,"E","Before PSM"
"1342","No",1.00301061421625,-0.95927850018385,0.507912213584524,"E","Before PSM"
"1344","No",1.33321639331926,-0.22653976897473,0.84750685963196,"E","Before PSM"
"1346","No",2.53737145005006,-0.60484249799471,0.693544505168152,"E","Before PSM"
"1386","No",1.6788242967253,-0.747072583905322,0.797897049419145,"E","Before PSM"
"1421","No",1.65214345147596,0.900469728729295,0.111317767192375,"E","Before PSM"
"1449","Yes",-0.435420455289224,-1.04126228147291,0.614324013836582,"E","Before PSM"
"1485","Yes",-0.731274646133701,-0.657878677063168,0.24571211758696,"E","Before PSM"
"1494","Yes",0.381286281621786,-0.86183406770879,0.660515256205274,"E","Before PSM"
"1515","Yes",1.85055191887565,-0.594750872220571,0.566580721378399,"E","Before PSM"
"1524","No",2.09668271630089,-0.804416988304268,1.00223509502228,"E","Before PSM"
