"bpt","lgm_tot_p50","logM200_L","RprojLW_Rvir","sfr_tot_p50","color_gr","zoo","distance","weights"
0,2.762582039,1.248271949,-0.57738282,-0.0135947351,0.89269383,"E",0.87408756,1
0,0.536853801,1.951499087,-0.436037176,-1.0719018088,0.74058785,"E",0.76254004,1
0,0.285477792,1.951499087,-0.825908695,0.0157694096,0.60344445,"E",0.87782241,1
0,2.296000758,0.215262668,-0.939568309,-0.2758942578,0.40288001,"E",0.76920589,1
1,0.910719145,0.926215303,-0.978849233,-0.8078658636,0.63425213,"E",0.77121334,1
0,0.447412331,0.926215303,-0.836789501,-0.6952795299,0.61737232,"E",0.79526409,1
1,0.60404102,-0.01839912,-0.847732146,-0.7517237843,0.52013588,"E",0.76358785,1
1,1.248535029,-0.01839912,-1.036676996,-0.8354173407,0.53909016,"E",0.73736654,1
0,1.448307858,-1.488830166,-0.9921992,-0.6492303514,0.43340367,"E",0.73875171,1
0,0.329531506,0.573463602,-0.612282159,-1.0074135789,0.67538653,"E",0.76395827,1
1,1.686616316,-0.921040643,-0.742733058,-0.6920231797,0.97454672,"E",0.83264998,1
0,2.323530539,-0.921040643,-0.899543807,-0.5435009683,0.70798973,"E",0.79068669,1
0,0.511931466,1.699834132,-0.901956406,-0.5816362212,0.52221542,"E",0.7914081,1
0,0.685387279,1.699834132,-0.429783159,-0.6651602026,0.68035715,"E",0.80583312,1
0,1.014895718,-1.13859615,-1.000525238,-0.6401727507,0.63302977,"E",0.79291644,1
0,0.792171298,-0.999226809,-0.68585269,-0.6259947496,0.55668513,"E",0.78524083,1
1,-0.370325257,-0.999226809,-0.825628851,-1.2064002941,0.56956309,"E",0.72681407,1
0,2.242639067,-0.746492701,-0.990819131,-0.7551267595,0.92471882,"E",0.80435516,1
0,-0.236648158,-1.200986434,-1.017329208,-1.295219351,0.76353892,"E",0.75238538,1
0,0.073698583,0.447682858,-0.817555066,-0.8309140403,0.50959614,"E",0.7625978,1
0,-0.071105641,2.073830948,-0.94254563,-1.1569353903,0.63435358,"E",0.74169117,1
0,1.935506156,-0.617849384,-0.811033957,-0.5105995908,0.73781344,"E",0.80951635,1
1,0.319708104,1.660585849,-0.597957075,-0.1832473957,0.5235088,"E",0.84592425,1
1,1.944723175,-0.12286577,-0.913851002,-0.904529996,0.79060343,"E",0.763215,1
0,1.970646042,1.268551378,-0.907865354,-0.8288549152,1.1053602,"E",0.83215509,1
0,1.754834387,-0.043506985,-0.961937442,-0.3706465275,0.61531307,"E",0.80973588,1
0,0.073759221,0.953220052,-0.868316201,-1.0713573838,0.86328096,"E",0.79840369,1
1,-0.016288632,0.427541385,-0.721355078,-0.9735164263,0.61370015,"E",0.76491139,1
0,0.256037905,0.427541385,-0.449430996,-0.9899970775,0.39483066,"E",0.70483551,1
0,0.696180894,-1.091415438,-0.853452112,-0.8584298174,0.78515604,"E",0.79886932,1
1,0.260191627,-1.001434094,-0.228720117,-1.2459877722,0.69201782,"E",0.73098031,1
0,1.088177085,1.533322086,-0.860891167,-1.0550514075,0.65450994,"E",0.73153221,1
1,1.552363154,-0.388015856,-0.951631853,-0.6252832996,0.61132643,"E",0.77802391,1
1,1.757835982,-0.290033104,-1.004212844,-0.057504846,0.41607751,"E",0.81487601,1
0,1.726334393,-0.290033104,-0.878838575,-0.5229313917,0.76159125,"E",0.81662979,1
1,2.066454531,-0.208811922,-0.878513323,-0.8466347915,1.39171344,"E",0.87083968,1
0,0.241060248,-0.297551668,-0.943529887,-1.0098603041,0.49960925,"E",0.72681708,1
0,2.894682542,-0.339248657,-1.019503511,-0.3340744247,0.85382157,"E",0.83188921,1
0,0.870364367,-1.330147083,-0.771685266,-0.9114239215,0.51927363,"E",0.73051931,1
0,1.12440846,0.1682544,-0.817460091,-0.8632824678,0.76222019,"E",0.78378681,1
0,1.125560588,0.523454807,-0.91015674,-0.6172533489,0.37925436,"E",0.74053265,1
1,1.673488128,-1.076516265,-1.006003793,-0.7805948865,0.54709894,"E",0.73668598,1
1,0.748754287,0.002087242,-0.586315881,-1.0125824293,0.73462818,"E",0.76505467,1
0,1.734126412,-1.181500248,-1.02113319,-0.7455209088,0.91562969,"E",0.81500876,1
1,1.361473834,-1.086897401,-0.649805742,-0.2323428044,0.49255402,"E",0.81426281,1
1,1.264179706,1.314387026,-0.747140562,-0.8666816181,1.1190294,"E",0.84344921,1
0,0.422853826,-0.646406131,-0.758669535,-0.983189852,0.6182295,"E",0.75306085,1
0,0.371857028,-0.05478483,-0.641064413,-0.7577022597,0.83368043,"E",0.8275092,1
0,0.748663329,-1.036026385,-1.043756895,-0.7833794867,0.56200572,"E",0.76389326,1
1,0.182695899,0.29679425,-0.771501421,-0.4140476584,0.44436438,"E",0.80718776,1
0,0.734716524,1.11411042,-0.836110772,-0.7545236845,0.54572441,"E",0.76525206,1
1,1.41359244,0.178601047,-0.599749684,-0.7824512866,0.64367602,"E",0.76444119,1
0,2.20686248,1.101901376,-0.856941747,-0.6903848046,0.77449964,"E",0.78547376,1
1,1.733186519,0.697657861,-0.867597079,-0.43488881,0.65945012,"E",0.80971659,1
0,0.587274535,1.097762717,-0.724323706,-0.9857207272,0.0732266,"E",0.61062567,1
0,0.942190415,1.156704119,-0.671925696,-0.402806875,0.51111268,"E",0.80421907,1
1,1.500214229,-1.147804666,-0.729297856,-0.669975878,0.90405525,"E",0.82734054,1
1,2.64873366,-1.504867469,-1.002198175,-0.2370805773,0.58745732,"E",0.80282596,1
0,3.231012788,0.194189996,-0.930418484,-0.415331966,0.52611076,"E",0.74979065,1
0,1.002070721,-0.337903593,-0.388878422,-0.7927685874,0.36634597,"E",0.71110482,1
0,0.859601071,0.390603853,-0.894499151,-0.5634355948,0.5989506,"E",0.80061369,1
1,0.723710675,-0.868376207,-0.825085021,-1.0755304591,0.7290337,"E",0.75467037,1
0,0.478064984,1.660585849,-0.661410492,-0.9292178229,0.85388244,"E",0.80690778,1
0,-0.474319915,1.660585849,-0.449918198,-0.6693919279,0.33445286,"E",0.76436972,1
0,-0.395399187,1.660585849,-0.948687076,-0.8293343152,0.66163111,"E",0.80421351,1
0,-0.16127477,1.660585849,-0.746029337,-1.113905412,0.65615329,"E",0.75581861,1
0,1.244775455,0.056096742,-0.859981458,-0.5904796219,0.61493773,"E",0.79109231,1
1,1.959640193,0.27537669,-0.455644045,-0.2215124436,0.54611496,"E",0.81242886,1
0,1.563763152,-0.916246696,-0.794734489,-0.5833867963,0.56240642,"E",0.77399639,1
0,0.348238416,-1.397745179,-0.458239476,-0.7429097086,0.43431664,"E",0.75311108,1
0,0.560078264,-1.397745179,-0.69958452,-0.9580264501,0.61002291,"E",0.75167885,1
0,0.168142711,-1.397745179,-0.847369799,-0.8935496951,0.59908755,"E",0.76943397,1
0,2.55256134,0.87817237,-0.832773613,-0.4056779202,0.58685881,"E",0.78118623,1
0,-0.280550276,1.016058691,-0.785568419,-0.7719720608,0.52290522,"E",0.78294681,1
0,1.329183947,-0.302345615,-0.953258252,-0.8099109637,0.78681967,"E",0.79143461,1
1,1.626068989,1.011644122,-0.630500466,-0.5683723952,0.50018747,"E",0.76170665,1
1,1.272032364,0.351355571,-0.965963129,-0.9318455981,1.02083941,"E",0.81935485,1
0,-0.378844936,0.351355571,-0.903940121,-1.4351429617,0.73660629,"E",0.72711329,1
0,1.405072761,-1.14680449,-0.88683879,-0.7295897826,-0.48916331,"E",0.47348927,1
0,0.943342542,-0.231815968,-0.799343433,-0.8724535435,0.43457024,"E",0.71522732,1
1,0.518783592,0.782879747,-0.8020521,-1.1464051645,0.49657109,"E",0.69402387,1
1,3.678159499,0.520695701,-0.930518277,-0.1413252649,1.27043036,"E",0.89499045,1
0,0.380558622,0.924663306,-0.942560182,-1.1086485866,0.42844826,"E",0.6880054,1
0,-0.326968883,0.252372644,-0.59547146,-1.6433861777,0.65816689,"E",0.66872358,1
1,1.773905127,-0.330729918,-0.901654602,-0.5761396958,0.61047432,"E",0.77972333,1
1,2.60595335,-0.547768092,-0.860955796,-0.2552262512,0.84166892,"E",0.84461137,1
1,0.021670934,-0.547768092,-0.725501154,-0.5064915405,0.37133181,"E",0.78409023,1
1,0.536035184,-1.38864013,-0.620128496,-1.0563009076,0.69546174,"E",0.75531309,1
0,-0.336398136,1.097762717,-0.380542593,-1.6232411761,0.67308889,"E",0.67666836,1
1,1.583106764,1.156704119,-0.930283975,-0.8188104644,0.68599221,"E",0.76348298,1
0,1.052188263,1.156704119,-0.982894734,-0.8354798157,0.62182052,"E",0.76079259,1
1,0.996340403,1.156704119,-0.904886729,-0.8968646954,0.75828427,"E",0.78117758,1
1,1.258661622,0.219780704,-0.623920858,-0.9322816481,0.92509415,"E",0.80235882,1
1,1.719270033,0.219780704,-0.722848526,-0.6985983552,0.65915594,"E",0.77278133,1
1,1.186956851,0.176152341,-0.782713876,-0.5597023945,0.39083895,"E",0.7508122,1
0,-0.489843316,-1.097864848,-0.312580496,-1.3595647809,0.47947825,"E",0.68103071,1
0,-0.228401351,0.224402207,-0.438262047,-1.2243663205,0.45094285,"E",0.69081192,1
1,0.709066529,-1.099382356,-1.002063567,-0.6486209014,0.53693961,"E",0.77999398,1
0,1.390519572,-1.099382356,-0.990499181,-0.6530834017,0.60251626,"E",0.77605799,1
1,0.739840459,-0.285032225,-0.838373864,-0.8379584159,0.62901777,"E",0.7698271,1
1,0.99185317,-0.285032225,-0.694246916,-0.6709461531,0.63284717,"E",0.78906314,1
0,-0.141749243,0.822369451,-0.992099001,-0.7171853066,0.52939746,"E",0.78883049,1
1,1.77063066,0.830888191,-1.033973099,-0.6022389478,0.50509215,"E",0.75370607,1
1,-0.853854939,0.830888191,-0.854206819,-1.5575722961,0.5229813,"E",0.66626992,1
1,2.219505562,-1.228956871,-0.962183159,-0.7377638082,0.83879306,"E",0.79100512,1
0,1.511462631,1.20978242,-0.569744379,-0.82608434,0.71297556,"E",0.76983977,1
1,0.343296396,1.453997789,-0.806820015,-0.8675996182,0.29379524,"E",0.69937064,1
0,2.065423681,1.453997789,-0.701084779,-0.7895275372,0.75719885,"E",0.77076009,1
1,2.449931044,0.143387957,-0.721460236,-0.7069929558,1.15870812,"E",0.84558892,1
0,0.118388998,-1.416610567,-0.839193966,-1.3747717071,0.7431746,"E",0.72499896,1
0,0.561745817,-1.416610567,-0.850539537,-0.3634729945,0.7577517,"E",0.85688073,1
0,1.110219101,-0.304139034,-0.997409724,-0.5730325206,0.77665527,"E",0.82566784,1
1,1.436847222,0.572566893,-0.900370362,-0.9903209276,0.61040331,"E",0.72250963,1
1,0.126726763,0.338008396,-0.953300344,-0.8016566131,0.09603565,"E",0.66798742,1
0,1.948967855,-1.139320415,-0.984911719,-1.426386261,0.75610835,"E",0.66433164,1
0,2.461694871,0.338008396,-0.84460992,-0.6610802023,0.55602577,"E",0.73703275,1
0,-0.725210818,0.515143,-0.9750502,-1.1054674614,0.60651304,"E",0.76101352,1
0,1.307141931,0.774740384,-0.655912658,-0.7667687854,0.53448473,"E",0.74600581,1
1,-0.132805096,0.774740384,-0.360461111,-1.5554927709,0.60872446,"E",0.66647111,1
1,2.013881139,1.491694074,-1.033341461,-0.6797500287,0.79646166,"E",0.79574482,1
1,-0.342401327,0.338008396,-0.709690456,-1.4594125885,0.68157952,"E",0.70879323,1
1,-0.141294456,-0.324866817,-0.542532014,-1.295261426,0.68598207,"E",0.73240798,1
0,1.537597732,1.904076952,-0.600029232,-0.7854947119,0.66916819,"E",0.76621188,1
1,-0.071924258,-0.813952842,-0.948616008,-0.390039789,0.40905778,"E",0.80950441,1
0,0.050322524,-0.813952842,-0.775880925,-0.7419190335,0.26316507,"E",0.72255371,1
1,0.805966508,-1.160841442,-0.938867148,0.1500292149,0.53784751,"E",0.87397734,1
0,0.395748513,0.924663306,-0.257707514,-1.477750915,0.85180797,"E",0.72506459,1
0,0.100227832,-0.580187587,-0.911325391,-0.8036124632,0.55386507,"E",0.77531514,1
1,1.15906324,-0.142179512,-0.742190471,-0.4652452873,0.51626082,"E",0.79165723,1
1,0.75075535,-0.142179512,-0.336267371,-0.7797546614,0.69887524,"E",0.79209736,1
0,0.361942669,-0.580187587,-0.840656908,-0.7677581855,0.78836665,"E",0.81871635,1
1,0.681627706,-0.193360928,-1.00835164,-0.5544009441,0.79010129,"E",0.8385265,1
0,0.111324638,1.003263337,-1.002030369,-1.2621305484,0.61839688,"E",0.71510877,1
0,1.630495584,0.860341647,-0.681827261,-0.5216334416,0.48199906,"E",0.76496361,1
0,2.478279442,-1.286829119,-1.022165796,-0.6606199273,0.37353815,"E",0.69305716,1
0,0.989336681,0.680827314,-0.734035783,-0.3858577887,0.30546097,"E",0.76482943,1
1,-0.574312446,0.009709272,-0.553074456,-1.2639321236,0.21638547,"E",0.63260917,1
0,0.83558831,-1.304073531,-0.6484378,-0.9618476254,0.80041279,"E",0.78397974,1
1,0.129819315,-1.23426815,-0.773628868,-0.5251843169,0.50057294,"E",0.80378894,1
0,-0.009739697,-0.494931212,-0.863449908,-1.1363007888,0.67741029,"E",0.75293712,1
0,-0.087205106,0.609538913,-0.863582549,-1.0166726296,0.62401672,"E",0.76223216,1
1,1.542842943,0.508245235,-0.848890047,-0.4772774632,0.4077289,"E",0.75826872,1
0,1.557487089,0.714350452,-0.56291175,-0.7431876586,0.81125178,"E",0.80015052,1
1,1.921104563,0.401088456,-0.66287822,-0.5909220469,0.66105797,"E",0.78415641,1
1,0.965172325,0.366082299,-0.848644696,-0.9399902987,0.68495244,"E",0.76023001,1
1,0.866331921,0.366082299,-0.938485477,-0.3926164367,0.67830297,"E",0.83596845,1
0,2.127274731,0.366082299,-0.888018985,-0.5426352432,0.86696835,"E",0.8240539,1
0,1.627069521,1.313145428,-0.608165472,-0.8574786674,0.79722247,"E",0.77956824,1
1,0.628599526,-0.534524383,-0.809827213,-1.3174706527,0.76739369,"E",0.72612083,1
0,1.697591846,2.190851531,-0.953744452,-0.6978142301,0.79012665,"E",0.79923901,1
0,1.273821193,-1.39126128,-0.807818719,-0.7447367837,0.81524349,"E",0.80698468,1
1,0.719617591,-0.389257453,-1.03898926,-0.7686774606,0.60669564,"E",0.77613362,1
1,2.270017253,-1.175706125,-0.969221503,-0.3715148026,0.37894497,"E",0.74980202,1
0,0.394262875,-1.335423873,-0.996888161,-1.0592219329,0.18354389,"E",0.63267412,1
0,-0.433874179,-0.974601788,-0.619222222,-1.1833584924,0.49006364,"E",0.71379082,1
0,1.662148768,-0.522694716,-0.921241736,-0.7852091118,0.59918392,"E",0.74792973,1
1,0.077882624,-0.227194465,-0.82519528,-1.2491306474,0.62831275,"E",0.72067286,1
0,0.394869257,-1.337734624,-0.743051831,-0.8991609706,0.56508446,"E",0.75555796,1
0,0.16959803,1.010850879,-0.946712243,-0.0815049378,0.33558393,"E",0.83070132,1
0,0.677443664,1.010850879,-0.909407931,-0.4626838121,0.76070364,"E",0.84447176,1
0,0.353210756,1.010850879,-0.802773201,-1.1040853613,0.76037903,"E",0.76641891,1
0,0.720133016,1.010850879,-0.420028105,-1.0033386786,0.53186248,"E",0.72202363,1
0,2.401177863,-0.946734817,-0.92900496,-0.2265676915,0.60162358,"E",0.81222507,1
1,1.168098344,-1.488209367,-0.871848871,-0.4383338602,0.38807467,"E",0.76963204,1
1,1.767174277,1.546289884,-0.770167256,-0.0543582733,0.38363155,"E",0.80927437,1
0,2.164536957,-1.373051181,-0.914107,-0.9132344217,1.22708455,"E",0.83812537,1
1,1.839940219,-0.118313246,-0.772216581,0.0112964543,0.86798783,"E",0.88693451,1
1,0.805754274,0.395949621,-0.333525957,-1.3267450034,0.70511387,"E",0.70454635,1
1,2.112600266,0.395949621,-0.844979586,-1.0309245807,1.03799818,"E",0.79067092,1
0,0.781135131,-0.695414751,-0.900904411,-0.9920026527,0.8425616,"E",0.78923911,1
0,1.592050911,-0.72097097,-0.676659673,-0.7197786568,0.58096508,"E",0.75622342,1
1,0.301365022,0.036507089,-0.764706,-1.1294068632,0.55136962,"E",0.71676773,1
0,1.058524964,0.036507089,-0.690315379,-0.866110418,0.65994719,"E",0.76398924,1
1,0.223353869,-1.380086901,-0.784819876,-0.8404446661,0.18963543,"E",0.68182357,1
1,2.036074751,-1.380086901,-0.878772389,-0.4336163599,0.58008761,"E",0.7880905,1
1,-0.10861042,0.55270133,-0.632937818,-1.5454891202,0.67903842,"E",0.68567142,1
0,3.019809643,-0.348112285,-1.014055727,-0.2911126589,0.91382403,"E",0.84404799,1
0,0.063632627,-0.146835504,-1.000495488,-1.0079261289,0.75772127,"E",0.78720373,1
0,1.391550423,1.852999003,-0.829076031,-0.6133097736,0.507897,"E",0.76236116,1
0,-1.073183614,0.95653098,-1.009514316,-1.817606016,0.35413753,"E",0.57480771,1
0,0.166990584,1.852999003,-0.296606987,-0.8485396417,0.58233454,"E",0.77279084,1
1,0.202342704,0.95653098,-0.781580114,-0.9245411225,0.12347549,"E",0.64919139,1
0,-0.306624739,2.139670115,-0.741702238,-1.621338876,0.65951606,"E",0.67260845,1
0,1.496757847,-0.473548141,-1.01172088,-0.2394395825,1.00730715,"E",0.88665956,1
1,0.847321818,0.778223755,-0.655716055,-1.0515120073,0.64835753,"E",0.73732861,1
0,-0.351254516,-0.025641773,-0.619413962,0.6160731157,0.23550206,"E",0.89505948,1
1,0.210134723,-0.846096427,-0.951680981,-0.6100929484,0.54584107,"E",0.79887924,1
0,1.325939799,-0.395361975,-0.870797587,-0.5231583417,0.65880597,"E",0.80677766,1
1,0.377678304,0.760427522,-0.839881503,-1.1676466662,0.79669497,"E",0.76368387,1
0,0.72283142,-0.695414751,-0.810754008,-0.7652744853,0.52855042,"E",0.76024179,1
1,1.443911582,0.641130677,-0.473391792,-0.9064029711,0.71973662,"E",0.76062554,1
0,-0.476290659,-0.61650432,-0.867497683,-0.9318608981,0.37219406,"E",0.73041484,1
1,0.70691387,-1.211505526,-0.721308771,-1.2231372204,0.85254341,"E",0.75854,1
0,1.680067382,0.502313157,-0.784695973,-0.4672814624,0.84291665,"E",0.83798141,1
1,0.394899577,-1.505246846,-0.944183896,-1.1669798411,0.56259408,"E",0.71019537,1
0,0.853112775,-0.342145719,-0.489321691,-1.3855416329,0.7269288,"E",0.69797197,1
0,-0.441544922,-0.861099065,-0.796073528,-1.0106469791,0.24897345,"E",0.6856294,1
0,-0.132047117,2.539395594,-0.55673608,-1.3641879312,0.55620329,"E",0.68874123,1
0,2.136400793,0.661513572,-0.962377615,-0.7027191555,0.47508077,"E",0.72025974,1
1,1.079445172,-0.045438359,-0.805174797,-0.7954231376,0.52004458,"E",0.74421769,1
1,-0.086143936,0.349148286,-0.93401977,-1.2326997212,0.66028701,"E",0.73545768,1
1,1.134262181,1.734150513,-0.893893484,-0.9412984488,0.73517089,"E",0.76637635,1
1,2.910145305,1.734150513,-0.786446661,-0.4653319873,0.70591019,"E",0.78766972,1
1,2.023431668,-0.348905528,-0.861925686,-0.4754669631,0.8065652,"E",0.82422851,1
1,0.208285255,-1.108763316,-1.006296323,-0.8689090433,0.66337083,"E",0.78516322,1
1,0.536489971,0.316211458,-1.0283156,-1.1215949376,0.69997588,"E",0.74583195,1
1,1.14032601,-1.348357182,-0.953368846,-1.1065843615,0.80708255,"E",0.75584956,1
1,0.583151131,1.407989696,-0.690461198,-0.4969532647,0.5160478,"E",0.80037568,1
0,0.590427725,-0.509864874,-0.793080536,-0.5822354713,0.35355931,"E",0.75471032,1
1,-0.115371589,-0.159803302,-0.960387704,-0.7761578861,0.5015062,"E",0.77398721,1
0,0.795536723,1.268585867,-0.570275933,-1.1616324907,0.81931128,"E",0.75875108,1
0,0.28696343,1.268585867,-1.001494093,-0.9877709274,0.2346601,"E",0.66373167,1
1,-0.50063693,1.268585867,-0.661307475,-0.7177960317,0.29023972,"E",0.74784778,1
1,0.295725662,-0.03160834,-0.799872779,-1.1878413927,0.54510055,"E",0.70514244,1
1,1.510128589,0.571946094,-0.560102698,-0.5636803948,0.6180114,"E",0.78929901,1
1,1.319299907,-0.746492701,-0.866078052,-0.6583185521,0.63136613,"E",0.78283292,1
1,0.663223986,0.580809722,-0.905800259,-1.1313690884,0.70354153,"E",0.74163438,1
1,1.701169505,-0.033815625,-0.767412606,-0.4067943103,0.67321569,"E",0.81651036,1
0,0.069817732,0.792812528,-0.96693554,-0.7833782117,0.76823565,"E",0.81932878,1
1,0.453991585,0.792812528,-0.874533953,-0.7534832844,0.41182713,"E",0.74363262,1
