bpt lgm_tot_p50 sfr_tot_p50 color_gr zoo RprojLW_Rvir logM200_L groupID distance weights
1             0.888313299 -0.159453344  0.798581777 S            2.86779223   14.40932       36         0.45243221   1           
0            -0.387849721 -0.325502089  0.332074068 S            2.33521541   14.40932       36         0.73439910   1           
1             0.431434143 -0.811632214  0.283808354 S            4.41330916   14.40932       36         0.36981529   1           
0             2.522575709  1.583633587 -0.061938700 S            6.80265904   14.40932       36         0.64510194   1           
0             1.444942433 -0.625004075  0.770969488 S            4.99900716   14.40932       36         0.19266530   1           
0            -0.306382186 -1.433536462  0.444709285 S            0.73915731   14.40932       36         0.34816659   1           
0            -0.951937364 -1.047671707  0.392319986 S            0.66230249   14.40932       36         0.64818106   1           
0             0.236997483 -0.587234747  0.619796766 S            0.11911864   14.40932       36         0.48506987   1           
1             0.090525707 -0.444875886  0.607005033 S            1.01752030   14.40932       36         0.57383677   1           
1            -0.609634247 -0.790857362  0.770269543 S            1.04278918   14.40932       36         0.63325681   1           
0            -0.335094413 -0.624499175  0.290417247 S            1.14843552   14.39986       14         0.63426308   1           
1             0.074092732 -0.947127749  0.718493964 S            0.09366982   14.39986       14         0.40156138   1           
0            -0.359895472  0.629751827 -0.443504635 S            5.82030963   14.38108       17         0.91874932   1           
0             0.550315500  0.669037895 -0.197986542 S            0.50636744   14.38108       17         0.81249706   1           
1             0.668317602 -0.646951926  0.476404582 S            0.81835470   14.38108       17         0.35750705   1           
1            -0.096118933 -0.600650298  0.564491033 S            1.03322179   14.36540       66         0.57143605   1           
1             0.058357097  1.436824594 -0.774715168 S            6.02416613   14.36540       66         0.95870771   1           
0             0.672198452 -1.198370344  1.672923616 S            0.34872446   14.36540       66         0.17839056   1           
1            -0.032903522 -1.425435111  0.462273826 S            1.06825368   14.36540       66         0.28650031   1           
0            -0.192351891 -0.457966312  0.547474275 S            1.20309069   14.35545        7         0.64382389   1           
1            -0.152542857 -1.385018883  0.929735082 S            1.09120301   14.35545        7         0.31128673   1           
1            -0.771326233 -1.289455076  0.508946914 S            0.21728277   14.35545        7         0.51601228   1           
0             0.264375669  0.524490369 -0.221997670 S            0.98449288   14.35545        7         0.82867501   1           
1             1.174738236  1.742087540 -0.410855791 S            5.27515401   14.34407        5         0.91027468   1           
0             0.224778869 -1.358266831  0.818337448 S            0.21297044   14.34407        5         0.24106751   1           
1             0.924574993  1.861812599 -0.660000407 S            0.53313299   14.34407        5         0.94202001   1           
1             0.343326715  1.022454152 -0.412037581 S            1.49933409   14.33683        9         0.90120948   1           
0            -0.079685958 -1.639800877  0.582141799 S            2.17890301   14.33347       45         0.23555099   1           
0             0.520208592 -1.128405988  0.677476222 S            2.99743962   14.33347       45         0.24510081   1           
1            -0.831267178 -0.338683805  0.005073345 S            2.56029241   14.33347       45         0.82084951   1           
1             0.804784062  1.812540475 -0.648532481 S            7.24923766   14.33347       45         0.94514347   1           
0             0.877944152 -0.601028973  0.824479711 S            0.34777317   14.33347       45         0.31059991   1           
0            -0.403585356 -0.866297843  0.434199978 S            2.30139804   14.33347       45         0.56649516   1           
1             0.284568218  1.807462660 -1.276600489 S            0.60673471   14.33347       45         0.97035502   1           
1            -0.815076756 -1.357273606  0.309472973 S            0.49445073   14.33347       45         0.51130199   1           
1             0.810938848 -1.085305885  0.664446102 S            0.25414975   14.33347       45         0.20168629   1           
0             0.517267635  1.377758174 -0.617065426 S            2.44398104   14.33099       62         0.92736119   1           
0             0.041196462  0.558851621  0.199023813 S            3.47708094   14.33099       62         0.85865144   1           
0             0.950315945  0.259619936  0.720928552 S            0.56521300   14.33099       62         0.58326040   1           
0             0.911264890  1.101688523  0.401211306 S            1.17031217   14.33099       62         0.83123597   1           
0             0.613136763 -1.128292513  0.742773911 S            0.75740658   14.33099       62         0.22548497   1           
1             1.057554751  0.335773014  0.906855023 S            0.67868859   14.33099       62         0.57450800   1           
1            -0.432964605 -0.879574419  0.310274358 S            0.41363962   14.33099       62         0.57403566   1           
0             0.027734763  0.238870584  0.511736546 S            1.24669461   14.33099       62         0.79071394   1           
0            -0.620912968 -0.264556447 -1.387455413 S            2.95062270   14.32090       10         0.83161511   1           
1             0.535519759  0.506170657  0.290473039 S            0.20528461   14.32090       10         0.76607559   1           
1            -0.859221427 -1.154130390  0.038533719 S            0.21865010   14.32090       10         0.60196960   1           
1             0.930062758 -1.446977513  0.715815917 S            3.00105058   14.31858       29         0.11773618   1           
1            -0.266633790 -0.989422052  0.393643794 S            3.10459954   14.31858       29         0.48872107   1           
1            -0.182952957 -0.842357166  0.423360988 S            1.74839223   14.31858       29         0.51627564   1           
0             0.945859031 -0.554553944  0.236825870 S            0.53168182   14.31858       29         0.32692784   1           
1             0.185060792 -1.423188561  0.722571899 S            1.19225861   14.31858       29         0.23491595   1           
0             0.505716042 -0.445450911  0.337592468 S            0.50155295   14.31858       29         0.47217017   1           
0            -0.901607588 -1.202962894  0.285827033 S            0.76966173   14.31858       29         0.58811483   1           
1            -0.061070005 -0.785042087  0.436923674 S            0.65605543   14.31858       29         0.50295233   1           
0             0.097923577  0.171067227  0.396484147 S            1.06660526   14.31858       29         0.76420711   1           
1             0.489859130 -0.180510098  0.949932021 S            1.17452908   14.31858       29         0.54657353   1           
1             0.215622488 -1.050447382  0.713026284 S            1.17534510   14.31858       29         0.33313624   1           
0            -0.684098061  1.105828831 -0.602315878 S            1.06610722   14.31559       12         0.96948722   1           
1            -0.418320459 -0.236504915 -0.348231077 S            0.88896647   14.31093       61         0.78080583   1           
0             0.060540075 -0.669915953  0.426323071 S            3.84142234   14.31093       61         0.51064873   1           
1             1.293316402  1.029203237  0.620542358 S            2.00015089   14.31093       61         0.74107545   1           
1             0.502684128 -0.227913964  0.602617701 S            0.16370970   14.31093       61         0.53906022   1           
1            -0.173008278 -1.109960562  0.617402754 S            0.74440454   14.31093       61         0.41453797   1           
1             0.894498404 -0.814871989  0.642621032 S            0.39516937   14.31093       61         0.25226825   1           
1             1.383697765  0.043590167  0.272279563 S            0.73309063   14.31093       61         0.40941250   1           
1            -0.335882711 -1.023491330  0.683075775 S            0.69351480   14.31093       61         0.48520262   1           
1            -0.030993416 -0.702492205  0.440362530 S            4.34055015   14.30717       53         0.52341958   1           
0            -0.303653463  0.983238464 -0.382731223 S            3.99441110   14.30717       53         0.94520509   1           
0             0.178663453  1.217146412 -0.534000314 S            6.64914752   14.30717       53         0.93558681   1           
0             0.719647910 -0.963818776  0.610332303 S            0.36055865   14.30717       53         0.24955124   1           
0            -0.344463028 -0.727381482  0.476059682 S            1.06103009   14.30717       53         0.59656378   1           
0            -1.129213389 -0.580806196 -0.018217551 S            0.60276689   14.30717       53         0.81894410   1           
0            -0.470560341 -0.818141089  0.852462261 S            0.77747608   14.30717       53         0.58589598   1           
0             0.967415941 -0.709050806  0.417619417 S            1.31280905   14.29510      141         0.27173788   1           
0             0.303487362 -0.450176061  0.743164459 S            1.70946245   14.29510      141         0.51043834   1           
1             1.064437197  0.570220415  0.808421572 S            2.34161213   14.29510      141         0.65313125   1           
